acc_x_raw,acc_y_raw,acc_z_raw,acc_x,acc_y,acc_z,vel_x,vel_y,vel_z,dist_x,dist_y,dist_z,speed,distance
-139,-269,-4007,2.920033813232421,5.510150886027018,84.76974505061848,1.2110515927086207,2.285273881537992,35.157310265326004,0.5022701975421778,0.9477919609938813,14.58110395819079,35.25231322574788,14.62050538087623
-137,-255,-4021,2.9248221433105464,5.543669196573894,84.7362267400716,3.0214564061406275,5.71669121421459,87.60729363034986,2.372489634222357,4.486306367686708,68.80821873947292,87.84558984085214,68.99512024765514
-138,-267,-4014,2.9224279782714837,5.514939216105144,84.75298589534505,4.14560941347802,7.838090116484336,120.2087211705515,3.96715657693481,7.501337924234729,115.04819331430713,120.5352993091345,115.36071769387387
-130,-261,-4021,2.9415812985839835,5.529304206339519,84.7362267400716,5.81456158827639,10.975227371447968,168.28514522523503,7.266139070780673,13.728304895809565,210.52740350819693,168.74286605897532,211.09962283294445
-127,-264,-4024,2.948763793701171,5.522121711222331,84.72904424495442,7.102254005689583,13.38667662715406,205.28537835409836,10.367614560002501,19.574117986695477,300.173249566479,205.84394984809887,300.9893906467827
-135,-258,-4013,2.929610473388671,5.536486701456706,84.75538006038411,8.576716337912778,16.17317031575357,247.94245392351573,14.684244804632943,27.71401598331395,424.96178790288843,248.6173605338495,426.1176068939481
-136,-265,-4013,2.9272163083496086,5.519727546183268,84.75538006038411,10.04682964364792,18.94530057702965,290.50849579886324,19.729986691712174,37.22876840526462,570.8616327093018,291.2989003260408,572.4144104329989
-132,-249,-4024,2.9367929685058587,5.5580341868082686,84.72904424495442,11.512765674273423,21.719661133346236,332.8020316834624,25.476724100530053,48.07040217713636,736.9838260481015,333.7086749634454,738.9891656126391
-139,-260,-4012,2.920033813232421,5.531698371378581,84.75777422542316,12.99772290265106,24.53275714770037,375.90484402997953,32.086600496233615,60.54631765915038,928.1468916245808,376.92870511427674,930.6729065283135
-133,-263,-4021,2.934398803466796,5.524515876261393,84.7362267400716,14.454364411503274,27.275138017051916,417.96807859348763,39.26177626341189,74.08575140904574,1135.6270923168615,419.1064023938571,1138.718173404311
-128,-253,-4020,2.946369628662109,5.548457526652018,84.73862090511066,15.928281198803639,30.050745195662742,460.35844084462104,47.22987396010784,89.11858957839837,1365.92068058074,461.61309717733667,1369.6394013173258
-140,-260,-4031,2.917639648193359,5.531698371378581,84.71228508968098,17.394333378834048,32.83030656529655,502.9245714180063,55.970158383513564,105.61512387142629,1618.6296348118706,504.295068783,1623.0370013376348
-144,-253,-4014,2.9080629880371087,5.548457526652018,84.75298589534505,18.85108136426265,35.60971827592191,545.3802341632752,65.41330831303974,123.4532469016099,1891.8292046555043,546.866542330285,1896.9811134174438
-132,-260,-4012,2.9367929685058587,5.531698371378581,84.75777422542316,20.324797161608227,38.38558683849169,587.9126401460521,75.61252050679053,142.71556682709183,2186.8503908725174,589.5149049007135,2192.8063339774108
-136,-265,-4015,2.9272163083496086,5.519727546183268,84.75059173030598,21.8022984658862,41.17164833503443,630.690179155616,86.61714777937034,163.49679981652696,2505.188861329835,632.4085285069789,2512.0121346782453
-141,-260,-4012,2.915245483154296,5.531698371378581,84.75777422542316,23.260669079849297,43.93891661372404,673.0908098913617,98.25344957391695,185.47753014236432,2841.9069399089585,674.9243850087499,2849.6474711170126
-132,-262,-4023,2.9367929685058587,5.5269100413004555,84.73143840999349,24.743271637991484,46.72910681566488,715.8663983270819,110.74477539112532,209.06812506940543,3203.3029813833236,717.8165080080909,3212.02800061515
-131,-259,-4024,2.9391871335449213,5.534092536417643,84.72904424495442,26.20668523036754,49.48451702647808,758.0527680216006,123.79301547748747,233.70633677162255,3580.735473448957,760.1180874583357,3590.488809806256
